name,category,tokenURI
"Boxing Glove #1","Activities","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_boxing_glove_1.json"
"Boy #1","People & Body","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_boy_1.json"
"Brain #1","People & Body","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_brain_1.json"
"Bread #1","Food & Drink","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_bread_1.json"
"Breast-feeding #1","People & Body","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_breast-feeding_1.json"
"Brick #1","Travel & Places","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_brick_1.json"
"Bridge At Night #1","Travel & Places","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_bridge_at_night_1.json"
"Briefcase #1","Objects","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_briefcase_1.json"
"Briefs #1","Objects","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_briefs_1.json"
"Bright Button #1","Symbols","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_bright_button_1.json"
"Broccoli #1","Food & Drink","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_broccoli_1.json"
"Broken Heart #1","Smileys & Emotion","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_broken_heart_1.json"
"Broom #1","Objects","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_broom_1.json"
"Brown Circle #1","Symbols","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_brown_circle_1.json"
"Brown Heart #1","Smileys & Emotion","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_brown_heart_1.json"
"Brown Square #1","Symbols","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_brown_square_1.json"
"Bubble Tea #1","Food & Drink","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_bubble_tea_1.json"
"Bucket #1","Objects","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_bucket_1.json"
"Bug #1","Animals & Nature","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_bug_1.json"
"Building Construction #1","Travel & Places","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_building_construction_1.json"
"Bullet Train #1","Travel & Places","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_bullet_train_1.json"
"Burrito #1","Food & Drink","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_burrito_1.json"
"Busts In Silhouette #1","People & Body","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_busts_in_silhouette_1.json"
"Bust In Silhouette #1","People & Body","https://bafybeibxw2bmsde3cjyoca7rw2ipoe43natgn3sdsrcj2cu6jafmtxpgym.ipfs.w3s.link/emoji_bust_in_silhouette_1.json"
